"city","country","roundabout_count"
"(unincorporated)","United States",259
"Auckland","New Zealand",202
"Carmel","United States",146
"Gothenburg","Sweden",117
"Calgary","Canada",101
"Lincoln","United States",89
"Miami","United States",88
"Portland","United States",82
"Colorado Springs","United States",79
"Seattle","United States",75
"Melbourne","Australia",73
"Christchurch","New Zealand",69
"Columbia","United States",69
"Tauranga","New Zealand",67
"Wellington","New Zealand",66
"Raleigh","United States",64
"Bend","United States",61
"Loveland","United States",60
"Hamilton","New Zealand",59
"El Paso","United States",57
"Frisco","United States",57
"Saint-Herblain","France",57
"Ottawa","Canada",56
"Cypress","United States",55
"Umea","Sweden",55
"Durham","United States",54
"Fort Worth","United States",54
"Kansas City","United States",54
"Winnipeg","Canada",49
"Charlotte","United States",48
"Norrköping","Sweden",47
"Uppsala","Sweden",47
"Almere","Netherlands",43
"Málaga","Spain",43
"Noblesville","United States",43
"Omaha","United States",43
"Fishers","United States",42
"Berkeley","United States",41
"Mount Pleasant","United States",41
"Columbus","United States",40
"Westfield","United States",40
"Brighton","United States",39
"Vasteras","Sweden",39
"Eskilstuna","Sweden",38
"Lethbridge","Canada",38
"Conway","United States",37
"Gainesville","United States",37
"Overland Park","United States",37
"Butler","Australia",36
"Jerez de la Frontera","Spain",36
"Warrnambool","Australia",36
"Kyiv","Ukraine",35
"Madison","United States",35
"Las Vegas","United States",34
"Linkoping","Sweden",34
"Orebro","Sweden",34
"Sarasota","United States",34
"Jacksonville","United States",33
"Lawrence","United States",33
"Naples","United States",33
"Dublin","United States",32
"Stockholm","Sweden",32
"The Villages","United States",32
"Washington","United States",32
"Bulle","Switzerland",31
"Elkhorn","United States",31
"Fayetteville","United States",31
"Jackson","United States",31
"McKinney","United States",31
"Oslo","Norway",31
"Austin","United States",30
"Avon","United States",30
"Kuching","Malaysia",30
"Orlando","United States",30
"Rochester","United States",30
"Kalmar","Sweden",29
"Los Barrios","Spain",29
"Assen","Netherlands",28
"Cambridge","Canada",28
"Irún","Spain",28
"Matjhabeng","South Africa",28
"Reno","United States",28
"Verdun","France",28
"Wake Forest","United States",28
"Franklin","United States",27
"Howard","United States",27
"Indianapolis","United States",27
"Skelmersdale","United Kingdom",27
"Sydney","Australia",27
"Tallahassee","United States",27
"Venlo","Netherlands",27
"Cary","United States",26
"Ladera Ranch","United States",26
"Palm Beach Gardens","United States",26
"Reykjavik","Iceland",26
"Scottsdale","United States",26
"Vaxjo","Sweden",26
"Wilmington","United States",26
"Windsor","United States",26
"Greenwood","United States",25
"Helsinki","Finland",25
"Lenexa","United States",25
"Perth","Australia",25
"Phoenix","United States",25
"Spokane","United States",25
"Chattanooga","United States",24
"Gavle","Sweden",24
"Greenville","United States",24
"Homestead","United States",24
"Irvine","United States",24
"Kennewick","United States",24
"Middletown","United States",24
"Nassau","The Bahamas",24
"Prato","Italy",24
"Sandvika","Norway",24
"Swindon","United Kingdom",24
"Arlington","United States",23
"Basingstoke","United Kingdom",23
"Billings","United States",23
"Boynton Beach","United States",23
"Cape Town","South Africa",23
"Colchester","United Kingdom",23
"Fort Collins","United States",23
"Helsingborg","Sweden",23
"Kitchener","Canada",23
"Mölndal","Sweden",23
"South Dublin","Ireland",23
"Södertälje","Sweden",23
"Woodbury","United States",23
"(unincorporated)","Canada",22
"Amersfoort","Netherlands",22
"Dublin","Ireland",22
"Frederick","United States",22
"Hendaye","France",22
"Henderson","United States",22
"Lakewood","United States",22
"Lillestrøm","Norway",22
"Newcastle upon Tyne","United Kingdom",22
"Nykoping","Sweden",22
"Quinns Rocks","Australia",22
"Santa Fe","United States",22
"Tampa","United States",22
"Trondheim","Norway",22
"Virginia Beach","United States",22
"Waterloo","Canada",22
"Bloomington","United States",21
"Doreen","Australia",21
"Fort Wayne","United States",21
"Lafayette","United States",21
"Malmo","Sweden",21
"Modesto","United States",21
"Oxford","United States",21
"Roseville","United States",21
"San Antonio","United States",21
"Springfield","United States",21
"Toledo","United States",21
"Topeka","United States",21
"Varberg","Sweden",21
"West Palm Beach","United States",21
"Alkimos","Australia",20
"Bozeman","United States",20
"Clearwater","United States",20
"Denver","United States",20
"Germantown","United States",20
"Heerlen","Netherlands",20
"Noumea","New Caledonia",20
"Olathe","United States",20
"Richmond","United States",20
"Rome","Italy",20
"Vastra Fralunda","Sweden",20
"Warsaw","Poland",20
"Watertown","United States",20
"Adeje","Spain",19
"Bergen","Norway",19
"Buffalo","United States",19
"Concord","United States",19
"Craigieburn","Australia",19
"De Pere","United States",19
"Houston","United States",19
"Lecco","Italy",19
"Lexington","United States",19
"Nijkerk","Netherlands",19
"Olympia","United States",19
"Wagga Wagga","Australia",19
"West Jordan","United States",19
"Wildwood","United States",19
"Winston-Salem","United States",19
"Albuquerque","United States",18
"Anchorage","United States",18
"Brisbane","Australia",18
"Covington","United States",18
"Federal Way","United States",18
"Knoxville","United States",18
"Kyle","United States",18
"Lacey","United States",18
"Littleton","United States",18
"Marysville","United States",18
"Neenah","United States",18
"Novokuznetsk","Russia",18
"Orange","Australia",18
"Ostersund","Sweden",18
"Sacramento","United States",18
"Thornton","United States",18
"Woodland","United States",18
"Adelaide","Australia",17
"Alpharetta","United States",17
"Canton","United States",17
"Castle Rock","United States",17
"Grand Junction","United States",17
"Guaynabo","United States",17
"Malta","United States",17
"Mankato","United States",17
"Midlothian","United States",17
"Milton Keynes","United Kingdom",17
"Nacka","Sweden",17
"Noosa Heads","Australia",17
"Port Macquarie","Australia",17
"Princeton","United States",17
"Tarneit","Australia",17
"Appleton","United States",16
"Conyers","United States",16
"Dunedin","New Zealand",16
"Farmington","United States",16
"Hisings Backa","Sweden",16
"Kissimmee","United States",16
"Kungens Kurva","Sweden",16
"Lelystad","Netherlands",16
"Liverpool","United Kingdom",16
"Mackay","Australia",16
"Monroe","United States",16
"Palm Coast","United States",16
"Pijnacker","Netherlands",16
"Richland","United States",16
"Saint Lucie West","United States",16
"Surrey","Canada",16
"Youngsville","United States",16
"Abbeville","France",15
"Canning Vale","Australia",15
"Cumming","United States",15
"Davis","United States",15
"Edmonton","Canada",15
"Gibraltar (Gibraltar)","Gibraltar",15
"Huntsville","United States",15
"Invercargill","New Zealand",15
"Jakobsberg","Sweden",15
"Kanata","Bolivia",15
"Leland","United States",15
"Lidingö","Sweden",15
"Ljubljana","Slovenia",15
"Milton","Canada",15
"Milwaukee","United States",15
"Novosibirsk","Russia",15
"Odessa","United States",15
"Oshkosh","United States",15
"Paisley","United Kingdom",15
"Partille","Sweden",15
"Plainfield","United States",15
"Provo","United States",15
"Queenstown","New Zealand",15
"Saskatoon","Canada",15
"South Shields","United Kingdom",15
"Sparks","United States",15
"Vero Beach","United States",15
"Whitchurch-Stouffville","Canada",15
"Wodonga","Australia",15
"Zwolle","Netherlands",15
"Ängelholm","Sweden",15
"Asker","Norway",14
"Atlanta","United States",14
"Ballard","United States",14
"Boulder","United States",14
"Brumunddal","Norway",14
"Bryan","United States",14
"Burlington","United States",14
"Cedar Falls","United States",14
"Cheyenne","United States",14
"Coffs Harbour","Australia",14
"Coralville","United States",14
"Edinburgh","United Kingdom",14
"Enköping","Sweden",14
"Gig Harbor","United States",14
"Gilroy","United States",14
"Hilliard","United States",14
"Kelowna","Canada",14
"Landskrona","Sweden",14
"Liberty Township","United States",14
"Little Rock","United States",14
"Marion","United States",14
"Mölnlycke","Sweden",14
"Park City","United States",14
"Putten","Netherlands",14
"Redmond","United States",14
"San Diego","United States",14
"San Francisco","United States",14
"San Sebastián","Spain",14
"St Augustine","United States",14
"Sunderland","United Kingdom",14
"Truckee","United States",14
"Upper Marlboro","United States",14
"Waco","United States",14
"Ajaccio","France",13
"Ann Arbor","United States",13
"Bellevue","United States",13
"Bowling Green","United States",13
"Coral Gables","United States",13
"Delta","Canada",13
"Denton","United States",13
"Dronten","Netherlands",13
"Espoo","Finland",13
"Fairbanks","United States",13
"Fingal","Ireland",13
"Gisborne","New Zealand",13
"Golden","United States",13
"Jerusalem","Israel",13
"Jindalee","Australia",13
"Kristianstad","Sweden",13
"Lewes","United States",13
"London","Canada",13
"Markham","Canada",13
"Marly","France",13
"Missoula","United States",13
"Newnan","United States",13
"North Lakes","Australia",13
"Palmerston North","New Zealand",13
"Pimpama","Australia",13
"Richfield","United States",13
"Rosmalen","Netherlands",13
"Salinas","United States",13
"Sammamish","United States",13
"South Bend","United States",13
"Strängnäs","Sweden",13
"Sunriver","United States",13
"Urbana","United States",13
"Vallentuna","Sweden",13
"Valparaiso","United States",13
"Veldhoven","Netherlands",13
"Victoria","Canada",13
"Visby","Sweden",13
"Whitehorse","Canada",13
"Wichita","United States",13
"Zionsville","United States",13
"Ashdod","Israel",12
"Athens","United States",12
"Ballina","Australia",12
"Beirut","Lebanon",12
"Bellingham","United States",12
"Bennington","United States",12
"Blenheim","New Zealand",12
"Bletchley","United Kingdom",12
"Bonita Springs","United States",12
"Brownsburg","United States",12
"Devonport","Australia",12
"Donvale","Australia",12
"Dubbo","Australia",12
"Ellenbrook","Australia",12
"Ellicott City","United States",12
"Etimesgut","Turkey",12
"Fargo","United States",12
"Flower Mound","United States",12
"Fulwood","United Kingdom",12
"Gaithersburg","United States",12
"Glenmore Park","Australia",12
"Goes","Netherlands",12
"Green Bay","United States",12
"Hagerstown","United States",12
"Jessheim","Norway",12
"Jupiter","United States",12
"La Línea","Spain",12
"Lakeville","United States",12
"Lamezia Terme","Italy",12
"Louisville","United States",12
"Meridian","United States",12
"Milnerton","South Africa",12
"Palma","Spain",12
"Papillion","United States",12
"Parker","United States",12
"Point Cook","Australia",12
"Redding","United States",12
"Roswell","United States",12
"Silverdale","New Zealand",12
"St George","United States",12
"Torslanda","Sweden",12
"Upper Coomera","Australia",12
"Vantaa","Finland",12
"Weert","Netherlands",12
"West Hoxton","Australia",12
"West Lafayette","United States",12
"Williamsburg","United States",12
"Aberdeen","United States",11
"Almendralejo","Spain",11
"Aurora","Canada",11
"Bathurst","Australia",11
"Boca Raton","United States",11
"Bodegraven","Netherlands",11
"Boise","United States",11
"Boston","United States",11
"Bromma","Sweden",11
"Cedar Park","United States",11
"Cheboksary","Russia",11
"Chertsey","United Kingdom",11
"Clarksburg","United States",11
"Clayton","United States",11
"Cleveland","Australia",11
"Cottage Grove","United States",11
"East Kilbride","United Kingdom",11
"Eltham","Australia",11
"Enskede","Sweden",11
"Estero","United States",11
"Fairview","United States",11
"Fitchburg","United States",11
"Flagami","United States",11
"Fort Myers","United States",11
"Fresno","United States",11
"Fullerton","United States",11
"Gatineau","Canada",11
"Gjøvik","Norway",11
"Goulburn","Australia",11
"Grand Rapids","United States",11
"Greenfield","United States",11
"Greensboro","United States",11
"Hamilton","Canada",11
"Haparanda","Sweden",11
"Hobart","United States",11
"Idaho Falls","United States",11
"Johnston","United States",11
"Katrineholm","Sweden",11
